nom,lon,lat
Bibliothèque O.C.B Menpenti,5.395391,43.2848889
Bibliothèque de l'université d'Aix-Marseille III,5.410442,43.334454
Bibliothèque O.C.B Le Cabot,5.416168,43.258102
Bibliothèque O.C.B Ste Marguerite,5.3979365,43.2430424
Bibliothèque Sonore du Pays d'Arles,4.641456,43.676749
Bibliothèque de l'université - section pharmacie,5.400158,43.289485
Archives communales,-1.021262,43.69461
Médiathèque Municipale,5.0078451,43.7100748
Médiathèque Boris Vian,4.978722,43.402603
Bibliothèque Municipale,5.31121,43.714058
Bibliothèque O.C.B Montolivet,5.4236768,43.31816
Bibliothèque O.C.B Mazargues,5.4003497,43.2457386
Bibliothèque sonore,5.376774,43.288713
Bibliothèque de l'Université de Provence - maths,5.378855,43.304066
Centre de documentation Albert Camus,5.439458,43.524035
Bibliothèque des Cinq Avenues,5.39623,43.302042
Archives Municipales,5.385708,43.310036
Médiathèque pour tous,4.774096,43.851744
Bibliothèque municipale Bernard Monge,5.482949,43.334715
Bibliothèque municipale,5.761583,43.6937032
Médiathèque municipale,5.5294192,43.6356142
Bibliothèque du Merlan,5.398685,43.332076
Médiathèque Municipale,5.347199,43.663327
Bibliothèque municipale Jorgi Reboul,5.364531,43.401404
Bibliothèque du Centre International de Poésie,5.368016,43.300082
Médiathèque municipale,4.854458,43.883216
Médiathèque intercommunale,4.942675,43.446154
Médiathèque,5.262138,43.657471
Médiathèque Simone Veil,5.605155,43.173653
Villa Ariane Bibliothèque Municipale de Cassis,5.538924,43.215626
"Médiathèque ""La Mine de Mots""",5.68059,43.448096
Archives départementales,5.3713443,43.3116234
Bibliothèque municipale - Adultes,5.093183,43.638393
Bibliothèque O.C.B La Valentine,5.4830499,43.2975557
Le Médiabus,5.568192,43.294889
Le médiabus,4.630737,43.675166
Bibliothèque municipale,5.417479,43.438799
Médiathèque Marc Mielly,4.900975,43.8757
"Cité de la Musique de Marseille - L'Auditorium, Le Salon, La Médiathèque",5.3755,43.301608
Bibliothèque Départementale des Bouches-du-Rhône,5.370493,43.311356
Bibliothèque Municipale,5.117655,43.331177
Médiathèque Intercommunale Marie Mauron,4.804376,43.392532
"Médiathèque d'Arles, annexe de Barriol",4.631424,43.675135
Bibliothèque du Monde Arabe,5.388642,43.299632
"Médiathèque d'Arles, annexe du Trebon",4.631381,43.675073
Le Médiabus,4.631166,43.675073
Bibliothèque,5.502695,43.696581
Médiathèque d'Arles,4.624901,43.674949
"Médiathèque d'Arles, annexe de Griffeuille",4.642006,43.676146
Bibliothèque municipale,4.832914173603058,43.790378
Bibliothèque du Musée Archéologie Méditerranéenne,5.368016,43.300082
Médiathèque,5.180804,43.7306941
Médiathèque Annie Albrand,5.435029,43.663753
Bibliothèque Municipale du Panier,5.367537,43.298431
Bibliothèque municipale,4.782705,43.822914
FRAC (Fonds régional d'art contemporain),5.367505400000027,43.305706
Bibliothèque Méjanes,5.439367,43.524884
Bibliothèque des Deux Ormes,5.411496,43.532008
Bibliothèque municipale du Grand Pré,5.640052,43.636809
Bibliothèque Alcazar BMVR,5.376371,43.298988
Médiathèque Edmonde Charles-Roux Defferre,5.167619,43.47478
