nom,cat,lon,lat
Gymnase Estaque Rabelais,Gymnases,5.3229963200003,43.36278154221
Gymnase Massenet,Gymnases,5.38104436522955,43.3408733252917
Gymnase Gibraltar,Gymnases,5.39257396958185,43.3166738425059
Gymnase Frédéric Mistral,Gymnases,5.38920056771113,43.2587577907027
Gymnase Busserade,Gymnases,5.38261817670628,43.308872703411
Gymnase Sainte Anne,Gymnases,5.39316665938387,43.255074295448
Gymnase Fonscolombes,Gymnases,5.37304223730233,43.3122025732398
Gymnase Vallon des Pins,Gymnases,5.36462661390333,43.3723725306752
Gymnase Henri Wallon,Gymnases,5.38753238766651,43.3199089412059
Gymnase de la Valbarelle,Gymnases,5.4568853056007,43.2865469212913
Gymnase Hermitage,Gymnases,5.35910632911841,43.3657290426963
Gymnase Santi,Gymnases,5.34824662116198,43.3434202886202
Gymnase de Saint Marcel,Gymnases,5.46791065857411,43.2870607426321
Gymnase La Rosiere,Gymnases,5.42989254349391,43.3059812337349
Gymnase de la Capelette,Gymnases,5.40896931469413,43.2768098742088
Gymnase Desautel,Gymnases,5.40492560444609,43.2546374211077
Gymnase Canet Larousse,Gymnases,5.38261466256923,43.3292795356389
Gymnase Jean Bouin,Gymnases,5.38799716148689,43.2581148520019
Gymnase Saint André - Henri Barnier,Gymnases,5.34443783260483,43.3656977181634
Gymnase La Rose Fuveau,Gymnases,5.42060020337356,43.3279446238265
Gymnase Ruissarel,Gymnases,5.48603555453677,43.2936356626931
Gymnase Bois Luzy,Gymnases,5.42714164263309,43.3131102342511
Gymnase Velten,Gymnases,5.37653441835648,43.3012546166471
Gymnase Campagne Lévêque,Gymnases,5.35636096020005,43.3420683978401
Gymnase Saint Joseph,Gymnases,5.3774299314709,43.343096577077
Salle Vallier,Gymnases,5.40340723353985,43.2993105441667
Gymnase Dragon,Gymnases,5.37239115630853,43.2866123344881
Gymnase Saint Marcel Forbin,Gymnases,5.47092868167968,43.2851122309213
Gymnase Vallon des Tuves,Gymnases,5.36585124269579,43.3687457403189
Gymnase Claude Ravera,Gymnases,5.47727464512723,43.2848880079107
Gymnase Mireille Lauze,Gymnases,5.41151428304633,43.2842093059946
Gymnase Saint Barthelémy,Gymnases,5.39182966378674,43.3236297140893
Gymnase Pont de Vivaux,Gymnases,5.42117377522728,43.2775859723123
Gymnase Saint Jérome FAC,Gymnases,5.40992501386716,43.3375624442872
Salle de la Martine,Gymnases,5.36279079748793,43.3746555937523
Gymnase Corderie,Gymnases,5.36951684422865,43.2901887214132
Gymnase du Roy d'Espagne,Gymnases,5.39474908245001,43.2401421616032
Gymnase Madrague Ville,Gymnases,5.3524952096986,43.3412711168694
Gymnase Bonneveine Hambourg,Gymnases,5.39267269730132,43.248746521109
Gymnase la Rose Bégude,Gymnases,5.43733833337884,43.3328630718174
Gymnase Raymond Teiseire,Gymnases,5.40066516989612,43.2715674227899
Gymnase Eric Padovani,Gymnases,5.35948424111791,43.2322561214408
Gymnase Antonin Artaud,Gymnases,5.42210392497798,43.3406491360344
Gymnase de la Croix Rouge,Gymnases,5.45699571138336,43.3304922316774
Gymnase des Caillols,Gymnases,5.44880742545711,43.3058124455167
Gymnase Ledeuc,Gymnases,5.42191429868012,43.2836097245121
Gymnase Mont Rose,Gymnases,5.35165023461067,43.2292709875045
Gymnase Ruffi,Gymnases,5.37137960522558,43.3107881641375
Gymnase Saint Gabriel La Marine,Gymnases,5.38822387525735,43.324051636995
Stade Antoine Eghikian,Stades,5.44622758715494,43.283585395089
Stade Caujolle,Stades,5.39436420135362,43.266391636515
Stade Ganay,Stades,5.39995892160993,43.2659601027805
Stade Esperanza,Stades,5.45760054264001,43.3112394042703
Stade René Ancelin,Stades,5.43157074999762,43.2374245160556
Stade Saint Joseph,Stades,5.37751886021283,43.3423086396965
Stade Saint Menet Le Mouton,Stades,5.50909987815801,43.2831880935963
Stade Saint André,Stades,5.34228854592524,43.3585222010155
Stade Roger Lebert,Stades,5.39045538249164,43.242447492838
Stade Weygand,Stades,5.40477727533644,43.3225304772478
Complexe de la Rosière,Stades,5.43162349098407,43.3059575696997
Complexe Prayet,Stades,5.46919777275054,43.2871075814115
Stade Malpassé,Stades,5.41289987289805,43.3281639945164
Stade La Batarelle,Stades,5.41338604945034,43.3509724153633
Stade Sainte Elisabeth,Stades,5.40927784327659,43.2997991696813
Stade Rose Rollandin,Stades,5.43503401779941,43.3371124782271
Stade Boneveine Terrades,Stades,5.38303572749361,43.2535923857952
Stade Henri Tasso,Stades,5.35861398549161,43.2894596857161
Stade Lucchesi,Stades,5.40959644354161,43.332556062903
Stade Delort,Stades,5.39945779207358,43.269310901461
Stade Chateau Gombert,Stades,5.4359998649368,43.356193501292
Stade Vallier,Stades,5.40226852527749,43.3001972320656
Complexe de l'Hermitage,Stades,5.35968917902855,43.365887802059
Stade les Aygalades Oasis,Stades,5.36673626273448,43.3493382325018
Stade La Pomme,Stades,5.43594489786099,43.287938884861
Stade Jean Dato,Stades,5.44579789276767,43.2961697550108
Stade Moruzzo,Stades,5.42162442094185,43.2778693314831
Stade Saint Menet Pépinières,Stades,5.50608043283265,43.286488882194
Stade Saint Loup,Stades,5.43084203679882,43.2853105140238
Complexe de Bois Luzy,Stades,5.42665074522034,43.3136091846491
Stade Le Cesne,Stades,5.40037887820761,43.2502783474314
Stade Spat,Stades,5.35737618145863,43.3340337480355
