X,Y,COMMUNE,STATUT,DESIGNATIO,TOTAL
5.222058200725193,43.392217314827583,GIGNAC-LA-NERTHE,PUBLIC,LE PETIT PRINCE,616
5.231083389130803,43.398667688207894,GIGNAC-LA-NERTHE,PRIVE,SAINT LOUIS,253
5.220475529805626,43.406234966169464,MARIGNANE,PUBLIC,EMILIE DE MIRABEAU,682
5.199836082017439,43.413308152711146,MARIGNANE,PUBLIC,GEORGES BRASSENS,658
5.231424876645096,43.413796796981508,MARIGNANE,PRIVE,SAINTE MARIE,767
5.227254047561372,43.41905719661969,SAINT-VICTORET,PUBLIC,JACQUES PRÉVERT,507
5.097197584841901,43.341247712293281,SAUSSET-LES-PINS,PUBLIC,PIERRE MATRAJA,762
5.547704445689961,43.253156372310194,CARNOUX-EN-PROVENCE,PRIVE,SAINT AUGUSTIN,318
5.377758833827848,43.298716809032221,MARSEILLE,PUBLIC,THIERS,436
5.384136854534116,43.304998218201995,MARSEILLE,PUBLIC,LONGCHAMP,533
5.381601035753308,43.299619407683352,MARSEILLE,PRIVE,SACRE COEUR,225
5.362624130515724,43.299785006212225,MARSEILLE,PRIVE,NOTRE DAME DE LA MAJOR,157
5.367671051361924,43.306486451262685,MARSEILLE,PRIVE,BELSUNCE,174
5.360314665486854,43.298451561610577,MARSEILLE,PUBLIC,VIEUX PORT,339
5.3709130702781,43.313803377962614,MARSEILLE,PUBLIC,VERSAILLES,459
5.375893876735866,43.309412809438683,MARSEILLE,PUBLIC,EDGAR QUINET,508
5.383002443951701,43.316173528424834,MARSEILLE,PUBLIC,BELLE DE MAI,514
5.371568782827493,43.316107987961182,MARSEILLE,PRIVE,ST MAURONT,134
5.381781742746202,43.314753314764978,MARSEILLE,PRIVE,SAINT CHARLES,234
5.390373290557585,43.302724877756205,MARSEILLE,PRIVE,ST JOSEPH DE LA MADELEINE,538
5.397647595370397,43.304423805152382,MARSEILLE,PRIVE,CHEVREUL DE LA BLANCARDE,518
5.398015191076957,43.31159085852115,MARSEILLE,PRIVE,ST BRUNO,473
5.401743581900345,43.307289904019569,MARSEILLE,PRIVE,STE MARIE,351
5.394622899907862,43.293942503514678,MARSEILLE,PUBLIC,CAMPAGNE FRAISSINET,488
5.386170023578729,43.292743941416113,MARSEILLE,PRIVE,CHEVREUL CHAMPAVIER,332
5.389940599924026,43.30035657209622,MARSEILLE,PRIVE,SAINT CHARLES CAMAS,486
