x,y,ind_srf_sum
5.954228216769011,43.157102086010944,63825.715
5.956677709414472,43.157199185941955,295404.0
5.949329253148683,43.15690770990363,92777.62
5.951778731345639,43.1570049273314,63825.715
5.373291167816512,43.452361783613846,664084.7
5.944430318451273,43.15671309880441,284635.7
5.370830171483999,43.45225059808527,331003.72
5.946879782182453,43.15681043372788,533471.3
5.368369183540243,43.452139353508365,335008.22
5.939531412711327,43.15651825271553,40211.586
5.365908203989625,43.45202804988346,103079.445
5.388057321729662,43.45302765675236,51206.938
5.3905183766605775,43.453138428933606,189419.0
5.383135236946328,43.452805935238445,845595.2
5.385596275156783,43.45291682552055,537672.9
5.3782131856302415,43.452583977524746,831850.0
5.380674207102686,43.45269498590639,922287.0
5.9346325359633925,43.15632317163922,48414.61
5.375752172533389,43.452472910093775,332042.34
5.922385471160296,43.15583444089312,892921.0
5.924834869581731,43.15593230453325,157201.84
5.929733688242014,43.15612785557773,134649.52
5.915037319582617,43.155540497504425,1016432.0
5.917486696156419,43.15563853737844,1240121.0
5.919936080017084,43.15573651850807,3211103.0
5.358525315740493,43.45169378472393,193158.98
5.360986270085364,43.45180526549091,240419.02
5.907689233625542,43.155246025419196,694427.9
5.905239886242353,43.15514775057065,121829.45
5.912587950299991,43.155442398886365,4020252.5
5.910138588312861,43.15534424152453,5131007.0
5.328994520890521,43.45035140996963,188414.25
5.331455374017585,43.4504635992757,655833.7
5.964026230640221,43.157490133241026,228735.11
5.96647575213086,43.15758699817512,207624.48
5.968925280821999,43.15768380435933,228300.23
5.971374816709315,43.15778055179334,209275.22
5.973824359788487,43.15787724047685,20869.715
5.961576716354395,43.15739320955728,103970.5
5.959127209277706,43.15729622712415,103970.5
5.582499225731226,43.42906639984724,480662.1
5.580038899386373,43.42896024386148,456628.94
5.587419902407931,43.42927853470595,203544.5
5.584959560073209,43.4291724967955,429705.06
5.592340611038031,43.42949043341219,262811.72
5.5898802527310005,43.42938451357829,294008.72
5.712907857002408,43.43460817683701,51928.62
5.683379441001284,43.43336796045515,490856.75
5.685840099445432,43.43347163660245,204736.17
5.688300765702282,43.433575253699445,250233.08
5.693222121636488,43.43378231074137,70605.37
