x,y,ind,men,men_surf_sum,men_surf_norm,men_occ5_sum,men_occ5_norm,men_coll_sum,men_coll_norm,men_5ind_sum,men_5ind_norm,men_1ind_sum,men_1ind_norm,men_prop_sum,men_prop_norm,men_basr_sum,men_basr_norm,ind_age1_sum,ind_age1_norm,ind_age2_sum,ind_age2_norm,ind_age3_sum,ind_age3_norm,ind_age4_sum,ind_age4_norm,ind_age5_sum,ind_age5_norm,ind_age6_sum,ind_age6_norm,ind_age7_sum,ind_age7_norm,ind_age8_sum,ind_age8_norm,ind_srf_sum,ind_srf_norm
5.375673984559189,43.2662899336057,47.0,19.0,2821.0,148.47368,15.0,0.7894737,7.0,0.36842105,0.0,0.0,4.0,0.21052632,15.0,0.7894737,1.0,0.05263158,2.0,0.04255319,0.0,0.0,1.0,0.021276595,3.0,0.06382979,1.0,0.021276595,38.0,0.80851066,18.0,0.38297874,9.0,0.19148937,1201060.0,25554.469
5.373220770222403,43.26617886163098,274.0,114.0,9722.0,85.2807,76.0,0.6666667,83.0,0.7280702,9.0,0.078947365,43.0,0.37719297,35.0,0.30701753,17.0,0.1491228,10.0,0.03649635,2.0,0.00729927,20.0,0.0729927,15.0,0.054744527,15.0,0.054744527,188.0,0.68613136,62.0,0.22627737,32.0,0.11678832,5937915.0,21671.223
5.3805804381219025,43.26651190105719,69.0,28.0,3057.0,109.17857,20.0,0.71428573,15.0,0.53571427,3.0,0.10714286,9.0,0.32142857,21.0,0.75,2.0,0.071428575,1.0,0.014492754,2.0,0.028985508,3.0,0.04347826,8.0,0.11594203,0.0,0.0,48.0,0.6956522,21.0,0.3043478,14.0,0.20289855,1774895.0,25723.115
5.378127207193798,43.266400946747886,148.0,57.0,7847.0,137.66667,40.0,0.7017544,44.0,0.7719298,4.0,0.07017544,13.0,0.22807017,45.0,0.7894737,4.0,0.07017544,5.0,0.033783782,1.0,0.006756757,4.0,0.027027028,10.0,0.067567565,6.0,0.04054054,110.0,0.7432432,43.0,0.29054055,20.0,0.13513513,3961008.0,26763.568
5.370767564187774,43.266067730824055,70.0,39.43662,2483.521,62.975,19.71831,0.5,37.464787,0.95,0.9859155,0.025,19.71831,0.5,22.676056,0.575,7.887324,0.2,0.0,0.0,0.9859155,0.014084507,3.943662,0.056338027,5.915493,0.08450704,0.9859155,0.014084507,58.169014,0.8309859,21.69014,0.30985916,11.830986,0.16901408,1517240.1,21674.86
5.368314366459633,43.26595654118524,1.0,0.56338024,35.478874,62.975,0.28169012,0.5,0.53521127,0.95,0.014084507,0.025,0.28169012,0.5,0.32394364,0.575,0.112676054,0.2,0.0,0.0,0.014084507,0.014084507,0.056338027,0.056338027,0.08450704,0.08450704,0.014084507,0.014084507,0.8309859,0.8309859,0.30985916,0.30985916,0.16901408,0.16901408,21674.86,21674.86
5.385486924841268,43.26673363317604,431.0,223.0,21005.0,94.192825,141.0,0.63228697,204.0,0.9147982,13.0,0.058295965,99.0,0.44394618,156.0,0.6995516,20.0,0.089686096,16.0,0.03712297,8.0,0.018561484,19.5,0.04524362,15.5,0.035962876,5.0,0.011600928,349.0,0.8097448,176.0,0.40835267,114.0,0.26450115,1.085255E7,25179.93
5.383033677339172,43.26662279653336,115.0,53.0,5700.0,107.54717,32.0,0.6037736,47.0,0.8867925,5.0,0.094339624,22.0,0.41509435,35.0,0.6603774,5.0,0.094339624,3.0,0.026086956,2.0,0.017391304,8.0,0.069565214,3.0,0.026086956,6.0,0.052173913,85.0,0.73913044,37.0,0.32173914,21.0,0.1826087,2910845.0,25311.695
5.387940180623866,43.266844410984895,527.5,257.0,17104.0,66.55253,141.0,0.5486381,253.0,0.9844358,14.0,0.054474708,105.0,0.4085603,52.0,0.20233463,43.0,0.16731517,22.0,0.04170616,16.0,0.030331753,23.5,0.044549763,19.5,0.036966823,13.5,0.025592417,391.0,0.7412322,129.0,0.24454977,73.0,0.13838862,1.0840305E7,20550.342
5.414926539506445,43.2680590837599,562.0,232.0,16276.0,70.155174,148.0,0.63793105,229.0,0.98706895,21.0,0.09051724,84.0,0.36206895,132.0,0.5689655,48.0,0.20689656,29.0,0.051601425,15.5,0.027580071,29.5,0.052491102,30.0,0.053380784,24.0,0.042704627,384.0,0.68327403,148.0,0.26334518,77.0,0.13701068,1.0070456E7,17918.96
